feature,perm_delta_smape,분류
avg_sales_nonzero_monthly,278.96974709633355,유지 (핵심 피처)
weekday_score,102.49980462282484,유지 (핵심 피처)
avg_sales_nonzero_weekday,75.87216350940821,유지 (핵심 피처)
roll_mean_7,35.53708162171097,유지 (핵심 피처)
roll_max_7,25.720030613611925,유지 (핵심 피처)
roll_max_14,20.577012877601646,유지 (핵심 피처)
avg_sales_nonzero_seasonly,15.82954334815281,유지 (핵심 피처)
roll_std_28,11.015441698315954,유지 (핵심 피처)
var_sales_nonzero_days,10.166119599227043,유지 (핵심 피처)
item_dow_idx,10.157266329722574,유지 (핵심 피처)
date_weight,10.033989176204273,유지 (핵심 피처)
is_holiday,8.880087074444532,유지 (핵심 피처)
lag_1,8.108564639419,유지 (핵심 피처)
avg_sales_nonzero_days,7.1811384553162725,유지 (핵심 피처)
roll_std_7,7.139316991194619,유지 (핵심 피처)
roll_mean_28,6.355593502288457,유지 (핵심 피처)
days_since_last_sale,6.305745922118149,유지 (핵심 피처)
roll_max_28,5.514868435730818,유지 (핵심 피처)
avg_sales_all_days,5.47473460293395,유지 (핵심 피처)
roll_std_14,4.600664134616295,유지 (핵심 피처)
exp_item_dow_mean,4.557143460547763,고민 (중간 중요도)
shop_dow_idx,3.885870472254624,고민 (중간 중요도)
lag_7,3.756799716528917,고민 (중간 중요도)
nonzero_rate_28,3.488509236409186,고민 (중간 중요도)
item_id,3.1172810974392178,고민 (중간 중요도)
solar_term_sum,3.0913847832723604,고민 (중간 중요도)
zero_sales_day_ratio,3.0123971895673094,고민 (중간 중요도)
roll_mean_14,2.8398320246382127,고민 (중간 중요도)
is_sandwich,2.5723460417556225,고민 (중간 중요도)
trend_7_1,2.433705521834554,고민 (중간 중요도)
menu_rank,2.3367152954576795,고민 (중간 중요도)
exp_item_mean,2.17597318447838,고민 (중간 중요도)
_solar_term_enc,1.943698748375596,고민 (중간 중요도)
trend_14_7,1.9069450575756264,고민 (중간 중요도)
dow_cos,1.6591678668647774,고민 (중간 중요도)
is_before_holiday,1.56442734326356,고민 (중간 중요도)
lag_14,1.1421604964938297,고민 (중간 중요도)
quarter_sum,1.127274533972468,고민 (중간 중요도)
dow_sin,1.0276596856975857,고민 (중간 중요도)
exp_shop_dow_mean,0.8009108835310599,고민 (중간 중요도)
woy_cos,0.7730812457925822,고민 (중간 중요도)
demand_volatility,0.7169574602825151,고민 (중간 중요도)
delta_1_7,0.6247512280262981,고민 (중간 중요도)
lag_28,0.5606843432226469,고민 (중간 중요도)
season_sum,0.4589150139132698,고민 (중간 중요도)
month_cos,0.4266170818605133,고민 (중간 중요도)
_menu_category_enc,0.3976431883279474,고민 (중간 중요도)
is_after_holiday,0.3018966400835552,제거 후보 (낮은 중요도)
weekday,0.2341814386909391,제거 후보 (낮은 중요도)
roll_min_14,0.2018359845384338,제거 후보 (낮은 중요도)
업장_id,0.1131694118961377,제거 후보 (낮은 중요도)
month,0.0477095354563061,제거 후보 (낮은 중요도)
_season_enc,0.0417944721978074,제거 후보 (낮은 중요도)
month_sin,0.0052265744988062,제거 후보 (낮은 중요도)
is_weekend,0.0,제거 후보 (낮은 중요도)
brunch_flag,0.0,제거 후보 (낮은 중요도)
quarter,0.0,제거 후보 (낮은 중요도)
year,0.0,제거 후보 (낮은 중요도)
time_idx,0.0,제거 후보 (낮은 중요도)
woy,-0.0242354407482707,제거 후보 (낮은 중요도)
roll_min_28,-0.1151872081363762,제거 후보 (낮은 중요도)
week,-0.1255811718507402,제거 후보 (낮은 중요도)
woy_sin,-0.1641380955832119,제거 후보 (낮은 중요도)
hallroom_flag,-0.2191913251780306,제거 후보 (낮은 중요도)
dow,-0.3262153363541529,제거 후보 (낮은 중요도)
roll_min_7,-0.502532808749379,제거 후보 (낮은 중요도)
day,-1.2322236861350575,제거 후보 (낮은 중요도)
