feature,perm_delta_smape,blend_gain_share,perm_norm,gain_norm,combined_score,category
roll_max_7,54.256456619348114,0.4369269621517323,0.3899108416291554,1.0,0.6949554208145777,유지 (핵심 피처)
avg_sales_nonzero_days,139.15093099912178,0.0126583501905467,1.0,0.0289713185201667,0.5144856592600834,유지 (핵심 피처)
roll_mean_7,81.84345392967907,0.1009285428384654,0.5881631789455696,0.2309963714333925,0.4095797751894811,유지 (핵심 피처)
cum_share_ref_solar,80.3510306429572,0.0038188629628442,0.5774379665736071,0.0087402776519843,0.2930891221127957,고민 (중간 중요도)
roll_max_14,19.812311676716035,0.1425161870730345,0.1423800152428809,0.326178513615149,0.2342792644290149,고민 (중간 중요도)
roll_std_28,41.07862062260995,0.031126784656002,0.2952090965375518,0.0712402468886608,0.1832246717131063,고민 (중간 중요도)
item_dow_idx,41.325514965998536,0.006770890343912,0.2969833882481127,0.0154966182690292,0.156240003258571,고민 (중간 중요도)
avg_sales_all_days,40.90830825476485,0.0053411201906182,0.2939851567002669,0.0122242861010792,0.153104721400673,고민 (중간 중요도)
roll_mean_14,29.333968376469784,0.0130091779240582,0.2108068423678381,0.0297742621787219,0.12029055227328,제거 후보 (낮은 중요도)
lag_1,18.36868714563468,0.0369830177249723,0.1320054922647309,0.0846434780377072,0.108324485151219,제거 후보 (낮은 중요도)
zero_sales_day_ratio,25.56390067378777,0.0035512748249077,0.1837134720568209,0.0081278454582403,0.0959206587575306,제거 후보 (낮은 중요도)
item_id,21.46677400512704,0.0023222970833014,0.1542697116792019,0.005315069300976,0.0797923904900889,제거 후보 (낮은 중요도)
is_holiday,14.495679443763263,0.0148341626088285,0.1041723496902421,0.0339511266042607,0.0690617381472514,제거 후보 (낮은 중요도)
roll_mean_28,15.766708750884732,0.002359680114097,0.1133065272196004,0.0054006282937456,0.059353577756673,제거 후보 (낮은 중요도)
day,15.183397364828124,0.0020507517379636,0.1091145941734586,0.0046935801989977,0.0569040871862282,제거 후보 (낮은 중요도)
exp_item_dow_mean,14.085796377720726,0.0034683235862356,0.1012267490887978,0.0079379939593454,0.0545823715240716,제거 후보 (낮은 중요도)
dow,12.110308085989573,0.0040352604896206,0.0870300184054536,0.0092355492774997,0.0481327838414766,제거 후보 (낮은 중요도)
nonzero_rate_28,10.186919282390932,0.0055313098260164,0.0732076976362826,0.012659575409987,0.0429336365231348,제거 후보 (낮은 중요도)
cum_share_ref,10.873053839833574,0.0022162891645442,0.0781385633697427,0.0050724477007087,0.0416055055352257,제거 후보 (낮은 중요도)
roll_max_28,8.932812753559006,0.0035634317945537,0.0641951346600432,0.0081556692610702,0.0361754019605567,제거 후보 (낮은 중요도)
lag_7,8.073324182334318,0.0056572993531441,0.0580184704792616,0.0129479291579618,0.0354831998186117,제거 후보 (낮은 중요도)
is_popular,6.611441977341201,0.0096027817542386,0.0475127397989376,0.021978002243093,0.0347453710210153,제거 후보 (낮은 중요도)
exp_shop_dow_mean,8.665096296644947,0.0022350063505259,0.0622712060525102,0.005115285949668,0.0336932460010891,제거 후보 (낮은 중요도)
_banquet_type_enc,6.740133707968653,0.0036138180818406,0.0484375753692312,0.0082709889635641,0.0283542821663976,제거 후보 (낮은 중요도)
roll_std_7,7.116980745263163,0.0019050570830004,0.0511457644886909,0.0043601270876454,0.0277529457881681,제거 후보 (낮은 중요도)
is_before_holiday,3.9609446130049264,0.0097368231761678,0.0284650960260547,0.0222847844596655,0.0253749402428601,제거 후보 (낮은 중요도)
roll_std_14,5.498280575349781,0.0040109872206791,0.0395130707058257,0.0091799947545608,0.0243465327301932,제거 후보 (낮은 중요도)
dow_sin,4.403855209956305,0.0047049746038784,0.0316480470402609,0.0107683320358803,0.0212081895380706,제거 후보 (낮은 중요도)
is_weekday_price,-0.0918700753055645,0.0185904281852054,-0.0006602189050833,0.0425481368640039,0.0209439589794603,제거 후보 (낮은 중요도)
shop_dow_idx,5.097034212370886,0.00208932829862,0.0366295372641312,0.0047818708379329,0.020705704051032,제거 후보 (낮은 중요도)
trend_7_1,4.891276825474165,0.0024974882467875,0.0351508738774089,0.0057160314265984,0.0204334526520037,제거 후보 (낮은 중요도)
lag_14,4.388991912621009,0.0027376648143092,0.0315412328261656,0.0062657264290283,0.018903479627597,제거 후보 (낮은 중요도)
exp_item_mean,4.291972254375196,0.0023806951814119,0.0308440067454689,0.0054487257313847,0.0181463662384268,제거 후보 (낮은 중요도)
delta_1_7,4.245903102272905,0.002076096232108,0.0305129334873059,0.0047515864479588,0.0176322599676324,제거 후보 (낮은 중요도)
lag_28,4.158984004477702,0.0017932750951005,0.0298882944915686,0.0041042903057965,0.0169962923986826,제거 후보 (낮은 중요도)
days_since_last_sale,2.2817592129180184,0.0066745873599673,0.0163977286859289,0.0152762084699396,0.0158369685779343,제거 후보 (낮은 중요도)
demand_volatility,2.9655959923900355,0.0025932131064326,0.0213120815728408,0.0059351180656414,0.0136235998192411,제거 후보 (낮은 중요도)
_menu_category_enc,1.8599627963369585,0.0019963376288385,0.0133665134899363,0.0045690419721574,0.0089677777310468,제거 후보 (낮은 중요도)
is_weekend_price,-0.0189852751352646,0.0064266591454093,-0.0001364365656697,0.014708772179588,0.0072861678069591,제거 후보 (낮은 중요도)
is_sparse_menu,0.0775379282473522,0.0059731315700607,0.0005572217712854,0.0136707781562502,0.0071139999637678,제거 후보 (낮은 중요도)
woy_cos,0.5936773659681194,0.003382128667403,0.0042664275524816,0.0077407186106049,0.0060035730815432,제거 후보 (낮은 중요도)
dow_cos,0.8161836726794718,0.002503607930312,0.0058654560685952,0.0057300376199777,0.0057977468442864,제거 후보 (낮은 중요도)
_season_enc,0.1287501004724163,0.0045141624354216,0.0009252550417591,0.0103316179280645,0.0056284364849118,제거 후보 (낮은 중요도)
is_alcohol,1.0376438360495968,0.0016441645794402,0.0074569665369766,0.003763019272931,0.0056099929049538,제거 후보 (낮은 중요도)
month_cos,0.5919414159192229,0.0029355277058971,0.0042539522493238,0.0067185776117832,0.0054862649305535,제거 후보 (낮은 중요도)
