feature,perm_delta_smape
avg_sales_nonzero_monthly,259.1032203967354
weekday_score,111.27527232959562
avg_sales_nonzero_weekday,96.56575744712359
roll_mean_7,38.00002596523211
roll_max_7,14.77463820710318
roll_max_14,14.404739769003072
date_weight,12.796766753327688
var_sales_nonzero_days,12.328920165776253
item_dow_idx,11.390602820459549
avg_sales_nonzero_seasonly,10.669581314390598
roll_std_7,10.607175120170496
is_holiday,9.98843999123983
month_score,9.080705866274798
lag_1,8.795358831480598
roll_std_14,8.521881838424292
roll_std_28,7.733568370549506
roll_mean_14,7.0008066282139225
roll_mean_28,6.223499043741867
avg_sales_all_days,5.884670965789837
avg_sales_nonzero_days,5.4729986040833865
days_since_last_sale,5.231918602352266
nonzero_rate_28,4.768555880139047
exp_item_dow_mean,4.67176677905843
shop_dow_idx,4.1612434979624595
lag_7,3.9596024441588042
solar_term_sum,3.9587824773170723
exp_item_mean,3.744517549422426
item_id,3.390919414930181
zero_sales_day_ratio,3.158254394175742
trend_7_1,3.0343266362996246
exp_shop_dow_mean,2.8762157386782974
is_sandwich,2.6830603778577142
day,2.5270422264469516
dow_cos,2.3974767122294907
menu_rank,2.2476636897945355
roll_max_28,1.9705293336101022
is_before_holiday,1.6538821467088383
dow,1.5504826207543374
season_sum,1.3878275914790947
_solar_term_enc,0.8710735314209614
demand_volatility,0.7564412874672826
woy_cos,0.7531373015451663
trend_14_7,0.6791644840420759
lag_14,0.5485410639723796
weekday,0.3516970593947235
is_after_holiday,0.3115826255761931
_menu_category_enc,0.24453513554749406
lag_28,0.2023269802955383
week,0.03306823620607702
woy,0.025914397573842507
month_cos,0.020879153043779297
month,0.018668561602453337
is_weekend,0.0
quarter,0.0
year,0.0
time_idx,0.0
brunch_flag,-0.00014523429831569956
month_sin,-0.0035307346330455402
_season_enc,-0.0697812616505189
hallroom_flag,-0.08059306814891443
roll_min_28,-0.08192403809255211
업장_id,-0.1594256138370156
roll_min_7,-0.1661722693588672
roll_min_14,-0.1860453178321677
woy_sin,-0.19793185525486479
dow_sin,-0.29765967733635534
delta_1_7,-0.4571037785468661
quarter_sum,-1.7959461917436101
